transaction_date,account,description,debit,credit,category,transaction_type,customer_vendor,payment_method,reference
21-Aug-23,Accounts Payable,Transaction 1,112.56,112.56,Asset,Sale,Customer 39,Cash,67471
13-Aug-23,Accounts Receivable,Transaction 2,775.86,775.86,Revenue,Purchase,Customer 3,Check,92688
11-May-23,Accounts Receivable,Transaction 3,332.81,332.81,Revenue,Transfer,Customer 36,Check,72066
26-Feb-23,Accounts Receivable,Transaction 4,203.71,203.71,Asset,Purchase,Customer 57,Check,27973
06-Nov-23,Accounts Receivable,Transaction 5,986.26,986.26,Asset,Expense,Customer 92,Check,29758
09-Aug-23,Accounts Receivable,Transaction 6,618.8,618.8,Expense,Purchase,Customer 56,Check,60948
13-Jul-23,Cash,Transaction 7,747.08,747.08,Revenue,Transfer,Customer 20,Cash,65266
09-Jun-23,Cash,Transaction 8,786.53,786.53,Expense,Sale,Customer 62,Credit Card,29821
13-Jul-23,Cash,Transaction 9,508.2,508.2,Liability,Transfer,Customer 21,Bank Transfer,47259
06-Nov-23,Accounts Payable,Transaction 10,109.49,109.49,Liability,Purchase,Customer 19,Credit Card,45660
09-Feb-23,Accounts Payable,Transaction 11,888.61,888.61,Asset,Sale,Customer 4,Cash,85111
04-Aug-23,Accounts Receivable,Transaction 12,728.15,728.15,Liability,Transfer,Customer 11,Bank Transfer,99083
10-Oct-23,Accounts Receivable,Transaction 13,767.98,767.98,Revenue,Transfer,Customer 6,Bank Transfer,69575
11-Feb-23,Accounts Payable,Transaction 14,884.52,884.52,Asset,Purchase,Customer 62,Bank Transfer,21881
21-Mar-23,Accounts Payable,Transaction 15,792.23,792.23,Liability,Transfer,Customer 37,Credit Card,39193
25-Mar-23,Cash,Transaction 16,248.58,248.58,Revenue,Purchase,Customer 19,Bank Transfer,69430
13-Sep-23,Cash,Transaction 17,898.96,898.96,Asset,Purchase,Customer 92,Credit Card,55814
05-Nov-23,Inventory,Transaction 18,514.67,514.67,Expense,Expense,Customer 10,Credit Card,72046
09-Nov-23,Accounts Payable,Transaction 19,459.15,459.15,Liability,Sale,Customer 74,Cash,47895
09-Dec-23,Accounts Receivable,Transaction 20,261.3,261.3,Asset,Sale,Customer 1,Bank Transfer,80975
08-Dec-23,Inventory,Transaction 21,632.55,632.55,Asset,Transfer,Customer 73,Bank Transfer,58981
10-Dec-23,Inventory,Transaction 22,591.26,591.26,Asset,Transfer,Customer 31,Cash,16529
19-Sep-23,Cash,Transaction 23,429.62,429.62,Liability,Transfer,Customer 79,Bank Transfer,18957
26-Aug-23,Cash,Transaction 24,437.19,437.19,Liability,Purchase,Customer 23,Credit Card,45159
17-Jan-23,Cash,Transaction 25,420.73,420.73,Revenue,Sale,Customer 86,Bank Transfer,78274
23-Nov-23,Inventory,Transaction 26,770.16,770.16,Expense,Sale,Customer 94,Check,71086
07-Dec-23,Accounts Receivable,Transaction 27,767.85,767.85,Liability,Purchase,Customer 27,Bank Transfer,11674
12-May-23,Cash,Transaction 28,302.22,302.22,Liability,Expense,Customer 97,Bank Transfer,80551
19-Mar-23,Inventory,Transaction 29,837.7,837.7,Liability,Purchase,Customer 70,Check,27582
02-Dec-23,Accounts Receivable,Transaction 30,872.32,872.32,Revenue,Sale,Customer 59,Check,83160
18-Aug-23,Cash,Transaction 31,916.54,916.54,Liability,Transfer,Customer 29,Credit Card,81955
19-Apr-23,Accounts Receivable,Transaction 32,301.22,301.22,Asset,Expense,Customer 1,Credit Card,39247
13-May-23,Cash,Transaction 33,766.46,766.46,Expense,Purchase,Customer 8,Check,58801
07-May-23,Inventory,Transaction 34,277.43,277.43,Expense,Sale,Customer 56,Check,31526
28-Feb-23,Inventory,Transaction 35,376.11,376.11,Expense,Transfer,Customer 46,Check,25242
09-Dec-23,Inventory,Transaction 36,810.69,810.69,Revenue,Expense,Customer 2,Cash,89648
11-Feb-23,Accounts Receivable,Transaction 37,481.17,481.17,Revenue,Purchase,Customer 72,Credit Card,43582
18-Aug-23,Inventory,Transaction 38,510.41,510.41,Asset,Sale,Customer 71,Check,60816
02-Jun-23,Inventory,Transaction 39,836.99,836.99,Revenue,Transfer,Customer 19,Credit Card,50317
09-Oct-23,Cash,Transaction 40,477.09,477.09,Liability,Transfer,Customer 42,Credit Card,23671
26-Dec-23,Accounts Payable,Transaction 41,198.8,198.8,Asset,Expense,Customer 80,Credit Card,71658
15-Nov-23,Inventory,Transaction 42,975.01,975.01,Expense,Expense,Customer 46,Bank Transfer,92447
07-Sep-23,Accounts Receivable,Transaction 43,874.26,874.26,Expense,Sale,Customer 73,Cash,88709
